ENSEMBLE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name,Fold_Change
ENSMUSG00000011171.11,184.3936321,0.5629775211,0.1418477633,3.96888543,7.22E-05,0.0006482279666,Vipr2,1.477315045
ENSMUSG00000083929.3,800.1137286,0.5616535089,0.1341701444,4.186128824,2.84E-05,0.000282749819,Gm10600,1.475959883
ENSMUSG00000096042.1,34.49544133,0.5611460487,0.1515871967,3.701803722,0.000214072199,0.001651001269,Vmn2r125,1.475440813
ENSMUSG00000094293.1,28.83384819,0.5609021985,0.1493326231,3.756059371,0.0001726097614,0.001383921589,Gm3893,1.475191449
ENSMUSG00000032202.11,3376.816878,0.5608403636,0.0695212661,8.067177067,7.19E-16,4.99E-14,Rab27a,1.475128223
ENSMUSG00000024679.10,215.0813795,0.5600329988,0.1337222772,4.188030675,2.81E-05,0.0002807680304,Ms4a6d,1.474302939
ENSMUSG00000063320.11,700.2704959,0.5598954421,0.06678688793,8.383313844,5.15E-17,4.15E-15,1190007I07Rik,1.474162375
ENSMUSG00000086287.1,60.58063014,0.5587135007,0.1390841493,4.017089679,5.89E-05,0.0005422658475,Gm15972,1.472955148
ENSMUSG00000036155.13,6695.593169,0.5585083278,0.05606554375,9.961703578,2.24E-23,4.5E-21,Mgat5,1.472745687
ENSMUSG00000070960.4,1254.671642,0.5579522821,0.06635272929,8.408882167,4.14E-17,3.37E-15,Gm19680,1.472178168
ENSMUSG00000100627.6,949.1697773,0.5565165797,0.07549464722,7.371603156,1.69E-13,8.27E-12,A830008E24Rik,1.470713854
ENSMUSG00000052934.14,4547.550725,0.5564641349,0.05347101858,10.40683626,2.31E-25,6.43E-23,Fbxo31,1.470660392
ENSMUSG00000024843.15,3362.994465,0.55563796,0.06181664592,8.988484441,2.51E-19,2.74E-17,Chka,1.469818444
ENSMUSG00000061740.7,4123.941578,0.5548441721,0.08234921156,6.737698656,1.61E-11,5.89E-10,Cyp2d22,1.469009954
ENSMUSG00000002847.6,26.56996422,0.5533371211,0.1513223181,3.656678856,0.0002555041547,0.001922623462,Pla1a,1.467476216
ENSMUSG00000099757.1,84.14986796,0.5521173646,0.133307279,4.14168955,3.45E-05,0.0003358780153,BE692007,1.466236032
ENSMUSG00000044748.8,20543.80425,0.5506571605,0.05384200556,10.22727803,1.5E-24,3.71E-22,Defb1,1.464752752
ENSMUSG00000023153.9,105.141142,0.5497870299,0.1296158808,4.241664113,2.22E-05,0.0002277039853,Tmem52,1.463869584
ENSMUSG00000099041.1,32.79355628,0.5496361193,0.1469177267,3.741115057,0.0001832056203,0.001451121374,Gm28035,1.463716467
ENSMUSG00000110958.1,11.40005731,0.5482926257,0.1412058382,3.882931702,0.0001032045633,0.0008830648523,RP23-415J15.3,1.462354032
ENSMUSG00000024561.8,13887.92389,0.5479468697,0.05409065127,10.13015848,4.06E-24,9.33E-22,Mbd1,1.462003606
ENSMUSG00000002910.11,2047.463642,0.5473619099,0.05272309117,10.38182507,3E-25,8.05E-23,Arrdc2,1.461410937
ENSMUSG00000031760.9,151.1585346,0.5472313976,0.1211862846,4.515621544,6.31E-06,7.42E-05,Mt3,1.461278738
ENSMUSG00000026473.15,296537.3405,0.5471832266,0.05229766048,10.46286242,1.28E-25,3.7E-23,Glul,1.461229947
ENSMUSG00000037437.18,43.29253744,0.5468497762,0.1457089307,3.753028544,0.0001747109523,0.001396418695,Adam32,1.460892252
ENSMUSG00000036863.12,1642.37043,0.5458667209,0.05813049228,9.390368111,5.98E-21,8.43E-19,Syde2,1.459897136
ENSMUSG00000020893.17,19575.09977,0.5452142174,0.07183074926,7.590262151,3.19E-14,1.73E-12,Per1,1.459237002
ENSMUSG00000024803.8,78.45608338,0.5451541206,0.1484796572,3.671574484,0.000241060801,0.001830008759,Ankrd1,1.459176217
ENSMUSG00000091938.2,423.5722889,0.5446928054,0.1208363659,4.507689399,6.55E-06,7.67E-05,Gm2564,1.458709707
ENSMUSG00000095298.2,140.9459274,0.5445145559,0.1250469225,4.354481862,1.33E-05,0.0001457520774,Gm12407,1.45852949
ENSMUSG00000100975.1,1553.67528,0.5431217414,0.06169004609,8.804041751,1.32E-18,1.34E-16,Gm28875,1.457122068
ENSMUSG00000029287.14,21002.4364,0.5398366775,0.04346433869,12.42022066,2.03E-35,2.71E-32,Tgfbr3,1.453807927
ENSMUSG00000106874.1,711.9599387,0.5390784843,0.07825163059,6.889038352,5.62E-12,2.19E-10,Gm20186,1.453044095
ENSMUSG00000041112.15,527.3755,0.53882097,0.1134470584,4.749536725,2.04E-06,2.74E-05,Elmo1,1.452784756
ENSMUSG00000073876.3,2661.006262,0.5383529487,0.0745562988,7.220757432,5.17E-13,2.38E-11,Gm13305,1.452313538
ENSMUSG00000035919.16,2071.263038,0.5382030075,0.05932060661,9.072783274,1.16E-19,1.33E-17,Bbs9,1.452162605
ENSMUSG00000070304.12,551.4812006,0.536313948,0.09494814065,5.648493423,1.62E-08,3.41E-07,Scn2b,1.450262393
ENSMUSG00000032750.13,45.72295301,0.5338728348,0.1479492028,3.608487405,0.0003079874636,0.002262116794,Gab3,1.447810551
ENSMUSG00000111290.1,23.84695137,0.5335563041,0.151413463,3.52383661,0.0004253464477,0.003001946215,RP23-9A12.4,1.447492932
ENSMUSG00000030022.14,375.9336504,0.5325048928,0.1053095184,5.056569444,4.27E-07,6.67E-06,Adamts9,1.446438409
ENSMUSG00000033863.1,8052.551638,0.529963897,0.08264532577,6.41250902,1.43E-10,4.42E-09,Klf9,1.443893062
ENSMUSG00000028017.7,1094.862449,0.5296001276,0.07474008346,7.085891574,1.38E-12,5.86E-11,Egf,1.443529037
ENSMUSG00000025082.8,146.5314309,0.529420921,0.1208726897,4.37998792,1.19E-05,0.000131433413,Vwa2,1.443349737
ENSMUSG00000078735.3,2438.146442,0.5289210343,0.07660973893,6.90409655,5.05E-12,1.98E-10,Il11ra2,1.44284971
ENSMUSG00000106290.1,377.5600089,0.5263915899,0.08375545481,6.284863369,3.28E-10,9.58E-09,Gm43429,1.440322211
ENSMUSG00000025557.9,424.6725876,0.5263630773,0.08343795114,6.308437229,2.82E-10,8.3E-09,Slc15a1,1.440293746
ENSMUSG00000030790.15,944.4621602,0.5256118632,0.07590816942,6.924312195,4.38E-12,1.73E-10,Adm,1.439543977
ENSMUSG00000034591.5,502.1406451,0.5256019911,0.07553181147,6.958683777,3.43E-12,1.38E-10,Slc41a2,1.439534127
ENSMUSG00000090338.1,213.1475625,0.5250758063,0.1474570256,3.560873443,0.0003696232155,0.002656637053,Gm17081,1.439009191
ENSMUSG00000025466.19,3320.614335,0.5250634272,0.061857524,8.488271002,2.1E-17,1.82E-15,Fuom,1.438996843
ENSMUSG00000039364.13,622.5636778,0.5247427095,0.1091244265,4.808664073,1.52E-06,2.11E-05,Sectm1b,1.438676983
ENSMUSG00000024677.13,371.8928357,0.5241219284,0.1108774722,4.727037133,2.28E-06,3.02E-05,Ms4a6b,1.438058064
ENSMUSG00000022229.2,22.67768289,0.5236574025,0.1473919848,3.552821431,0.0003811230829,0.002724351431,Atp12a,1.437595106
ENSMUSG00000103620.1,20.56559257,0.5236404128,0.1514689399,3.457081123,0.0005460604392,0.003732138848,Gm37359,1.437578176
ENSMUSG00000027524.9,2797.475904,0.5226022191,0.1182745533,4.41855162,9.94E-06,0.0001118152288,Edn3,1.436544037
ENSMUSG00000031312.5,29.28479978,0.5221503501,0.1393731879,3.746418934,0.0001793769342,0.001424847583,Itgb1bp2,1.436094165
ENSMUSG00000029153.11,4696.279944,0.522041673,0.06458701618,8.082764988,6.33E-16,4.42E-14,Ociad2,1.435985989
ENSMUSG00000036437.6,741.0017602,0.5198277142,0.1145000349,4.539978653,5.63E-06,6.7E-05,Npy1r,1.433784016
ENSMUSG00000024042.6,25761.20997,0.5197737104,0.0489587744,10.61655886,2.5E-26,8.18E-24,Sik1,1.433730347
ENSMUSG00000111840.1,35.35010638,0.5192585514,0.1499191296,3.463591022,0.0005330162286,0.003657571478,RP24-216P6.3,1.43321848
ENSMUSG00000110588.1,150.322969,0.5180888651,0.1110885542,4.663746582,3.11E-06,3.95E-05,RP23-98C9.5,1.432056948
ENSMUSG00000028337.14,23412.82803,0.5160028698,0.05127476822,10.06348518,8.01E-24,1.73E-21,Coro2a,1.429987831
ENSMUSG00000047259.2,53.49837785,0.5153932827,0.1492655111,3.452862478,0.0005546717003,0.003782871183,Mc4r,1.429383741
ENSMUSG00000025726.11,11.94554923,0.514909412,0.1384163555,3.720004116,0.0001992195315,0.001555294458,Slc28a1,1.428904415
ENSMUSG00000031432.3,2209.853563,0.5144240951,0.05250618088,9.797400735,1.16E-22,2.16E-20,Prps1,1.428423818
ENSMUSG00000018862.11,37.06024478,0.5135206034,0.1480775548,3.467916553,0.0005245101351,0.003610321384,Otop3,1.427529544
ENSMUSG00000038301.15,1642.514726,0.5116795567,0.06143938028,8.328201788,8.21E-17,6.39E-15,Snx10,1.425709012
ENSMUSG00000029304.14,2805.775403,0.5107162864,0.1324847577,3.854905992,0.0001157741079,0.0009786453563,Spp1,1.4247574
ENSMUSG00000109857.1,144.9975901,0.5103897709,0.1193049456,4.278026936,1.89E-05,0.0001978918122,Gm45563,1.424434981
ENSMUSG00000043673.10,145.0863324,0.5100342349,0.1288696858,3.957751832,7.57E-05,0.0006751089767,Kcns3,1.424083988
ENSMUSG00000085573.1,21.69736783,0.5098601151,0.1507657495,3.38180334,0.0007201167782,0.004730224627,Gm15418,1.423912125
ENSMUSG00000031904.5,771.9774722,0.5097793544,0.07755257857,6.57333855,4.92E-11,1.66E-09,Slc7a6,1.423832418
ENSMUSG00000051910.13,1865.082979,0.509005597,0.0607599986,8.377314166,5.41E-17,4.35E-15,Sox6,1.423068982
