ENSEMBLE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name,Fold_Change
ENSMUSG00000090338.1,213.1475625,0.7811546779,0.1496717797,5.21911799,1.8E-07,1.84E-06,Gm17081,1.718505749
ENSMUSG00000044548.11,206.8632933,0.7798631134,0.1256282836,6.207703321,5.38E-10,8.16E-09,Dact1,1.716967955
ENSMUSG00000019278.5,19984.14436,0.7796410831,0.09099151156,8.568283676,1.05E-17,4.14E-16,Dpep1,1.716703734
ENSMUSG00000071001.4,102.8581114,0.7783262501,0.1369724909,5.6823545,1.33E-08,1.64E-07,Hrct1,1.71513989
ENSMUSG00000072949.5,514.8808443,0.7757478051,0.1081763503,7.171140484,7.44E-13,1.6E-11,Acot1,1.712077258
ENSMUSG00000026473.15,296537.3405,0.7743059923,0.05616765748,13.78562018,3.11E-43,2.31E-40,Glul,1.710367082
ENSMUSG00000048534.7,164.1154396,0.7718855166,0.1172850923,6.581275606,4.66E-11,8.09E-10,Amica1,1.707499927
ENSMUSG00000040649.15,3666.773987,0.7700808542,0.07253643757,10.61646918,2.5E-26,2.34E-24,Rimklb,1.705365356
ENSMUSG00000072944.11,226.2427265,0.7675114127,0.1193830921,6.428979175,1.28E-10,2.12E-09,Nup62cl,1.702330802
ENSMUSG00000022421.18,1359.447287,0.7664436658,0.08221368351,9.322580295,1.14E-20,6.06E-19,Nptxr,1.701071363
ENSMUSG00000035919.16,2071.263038,0.7653580383,0.06340916721,12.07014809,1.52E-33,2.86E-31,Bbs9,1.699791789
ENSMUSG00000073876.3,2661.006262,0.7650030468,0.07966123689,9.603203223,7.75E-22,4.73E-20,Gm13305,1.699373587
ENSMUSG00000038332.13,18355.45949,0.7633786607,0.06198838955,12.31486519,7.53E-35,1.64E-32,Sesn1,1.697461274
ENSMUSG00000031432.3,2209.853563,0.763360812,0.05631115822,13.55611989,7.29E-42,4.19E-39,Prps1,1.697440273
ENSMUSG00000034220.7,11049.49972,0.7625422826,0.06964929764,10.94831259,6.77E-28,7.52E-26,Gpc1,1.696477484
ENSMUSG00000074794.9,38982.03451,0.7610298659,0.05654428197,13.45900663,2.73E-41,1.33E-38,Arrdc3,1.694699952
ENSMUSG00000022715.2,31.2137859,0.7589152499,0.1518518867,4.997733427,5.8E-07,5.47E-06,Tmem114,1.692217782
ENSMUSG00000015243.4,5528.17955,0.7582098887,0.07047449167,10.75864289,5.4E-27,5.42E-25,Abca1,1.691390627
ENSMUSG00000038623.9,225.2494701,0.7574999937,0.1265071752,5.987802611,2.13E-09,2.92E-08,Tm6sf1,1.690558563
ENSMUSG00000045064.4,508.8745214,0.7566554999,0.09115747462,8.300531614,1.04E-16,3.66E-15,Zc2hc1c,1.68956927
ENSMUSG00000011171.11,184.3936321,0.7562564644,0.1456439585,5.19250144,2.07E-07,2.11E-06,Vipr2,1.689102016
ENSMUSG00000040723.14,504.484137,0.7542209743,0.1091028023,6.912938606,4.75E-12,9.25E-11,Rcsd1,1.686720552
ENSMUSG00000031016.9,7392.893818,0.7506713033,0.05088387088,14.75263753,2.96E-49,4.25E-46,Wee1,1.682575571
ENSMUSG00000005667.8,694.5069817,0.7501852294,0.1140730678,6.576357099,4.82E-11,8.33E-10,Mthfd2,1.682008772
ENSMUSG00000002910.11,2047.463642,0.7494359062,0.0564198094,13.28320521,2.9E-40,1.15E-37,Arrdc2,1.681135378
ENSMUSG00000048482.14,281.3916733,0.7480792635,0.1171672883,6.384710906,1.72E-10,2.79E-09,Bdnf,1.67955526
ENSMUSG00000106662.1,92.18957588,0.7480644843,0.1323962831,5.650192488,1.6E-08,1.94E-07,Gm43034,1.679538055
ENSMUSG00000043629.12,147.676782,0.7468669864,0.137830266,5.418744433,6E-08,6.6E-07,1700019D03Rik,1.678144545
ENSMUSG00000029126.7,354.496192,0.7467158276,0.1322841848,5.644785346,1.65E-08,2E-07,Nsg1,1.677968727
ENSMUSG00000032726.12,42.00115746,0.7449048443,0.1517221018,4.909665998,9.12E-07,8.32E-06,Bmp8a,1.675863731
ENSMUSG00000078735.3,2438.146442,0.7434064999,0.08177410457,9.090976952,9.82E-20,4.68E-18,Il11ra2,1.674124127
ENSMUSG00000025467.8,101.8141441,0.7423739865,0.1399144999,5.305911732,1.12E-07,1.19E-06,Prap1,1.672926412
ENSMUSG00000000530.16,875.0079757,0.7418791822,0.1050689126,7.060881894,1.65E-12,3.4E-11,Acvrl1,1.672352744
ENSMUSG00000045730.3,17864.12326,0.7416957141,0.05777917241,12.83673135,1.02E-37,3.09E-35,Adrb2,1.672140083
ENSMUSG00000027339.15,396.6379892,0.7403395124,0.1222337501,6.056752015,1.39E-09,1.96E-08,Rassf2,1.670568931
ENSMUSG00000041112.15,527.3755,0.7392193205,0.1196324762,6.179085677,6.45E-10,9.64E-09,Elmo1,1.669272308
ENSMUSG00000032528.5,346.5367853,0.7326598937,0.1191832356,6.147340187,7.88E-10,1.16E-08,Vipr1,1.661699942
ENSMUSG00000042599.8,11621.47567,0.7317706017,0.06447457111,11.34975525,7.44E-30,9.72E-28,Kdm7a,1.660675968
ENSMUSG00000006205.13,17210.62533,0.7308270461,0.06664682687,10.96566904,5.59E-28,6.24E-26,Htra1,1.659590203
ENSMUSG00000049598.9,225.0752817,0.7282650533,0.1218431046,5.977072364,2.27E-09,3.11E-08,Vsig8,1.656645655
ENSMUSG00000031760.9,151.1585346,0.7264622371,0.1263800591,5.748234669,9.02E-09,1.13E-07,Mt3,1.654576776
ENSMUSG00000021125.6,31.63689084,0.7253761244,0.1514843693,4.788455256,1.68E-06,1.46E-05,Arg2,1.653331619
ENSMUSG00000070304.12,551.4812006,0.7250001899,0.1014836548,7.144009461,9.06E-13,1.92E-11,Scn2b,1.652900854
ENSMUSG00000043415.5,4576.901474,0.7210510187,0.04870835596,14.80343577,1.39E-49,2.13E-46,Otud1,1.648382461
ENSMUSG00000028337.14,23412.82803,0.7151824966,0.05505972158,12.98921382,1.41E-38,4.7E-36,Coro2a,1.641690874
ENSMUSG00000100975.1,1553.67528,0.7137207256,0.06612443995,10.79359955,3.69E-27,3.79E-25,Gm28875,1.640028318
ENSMUSG00000024042.6,25761.20997,0.7111939354,0.05259846687,13.52119135,1.17E-41,6.42E-39,Sik1,1.637158425
ENSMUSG00000021509.5,30898.36389,0.7109492225,0.06508789516,10.92291002,8.96E-28,9.68E-26,Slc25a48,1.63688075
ENSMUSG00000036437.6,741.0017602,0.7091297725,0.1195913137,5.929609353,3.04E-09,4.07E-08,Npy1r,1.634817705
ENSMUSG00000023942.15,7686.230256,0.7078442629,0.05033442644,14.06282564,6.43E-45,6.43E-42,Slc29a1,1.633361653
ENSMUSG00000035877.17,8435.3815,0.7073236044,0.06469831022,10.93264418,8.05E-28,8.86E-26,Zhx3,1.632772291
ENSMUSG00000036155.13,6695.593169,0.7054115429,0.06016731789,11.72416467,9.58E-32,1.53E-29,Mgat5,1.630609746
ENSMUSG00000031906.9,42.69844402,0.7053459692,0.1500699484,4.700114692,2.6E-06,2.18E-05,Smpd3,1.630535633
