From	To	Species	Gene Name
EFTUD2	ENSMUST00000148209	Mus musculus	elongation factor Tu GTP binding domain containing 2(Eftud2)
EFTUD2	ENSMUST00000138483	Mus musculus	elongation factor Tu GTP binding domain containing 2(Eftud2)
FBL	ENSMUST00000207397	Mus musculus	fibrillarin(Fbl)
FBL	ENSMUST00000207384	Mus musculus	fibrillarin(Fbl)
FBL	ENSMUST00000207956	Mus musculus	fibrillarin(Fbl)
FBL	ENSMUST00000042405	Mus musculus	fibrillarin(Fbl)
FBL	ENSMUST00000208967	Mus musculus	fibrillarin(Fbl)
FBL	ENSMUST00000208259	Mus musculus	fibrillarin(Fbl)
ABCG8	ENSMUST00000045714	Mus musculus	ATP-binding cassette, sub-family G (WHITE), member 8(Abcg8)
ABCG8	ENSMUST00000170725	Mus musculus	ATP-binding cassette, sub-family G (WHITE), member 8(Abcg8)
ABCG8	ENSMUST00000171915	Mus musculus	ATP-binding cassette, sub-family G (WHITE), member 8(Abcg8)
ABCG5	ENSMUST00000163375	Mus musculus	ATP-binding cassette, sub-family G (WHITE), member 5(Abcg5)
ABCG5	ENSMUST00000171544	Mus musculus	ATP-binding cassette, sub-family G (WHITE), member 5(Abcg5)
ABCG5	ENSMUST00000172439	Mus musculus	ATP-binding cassette, sub-family G (WHITE), member 5(Abcg5)
ABCG5	ENSMUST00000066175	Mus musculus	ATP-binding cassette, sub-family G (WHITE), member 5(Abcg5)
KRT74	ENSMUST00000088018	Mus musculus	keratin 74(Krt74)
PDIA6	ENSMUST00000161853	Mus musculus	protein disulfide isomerase associated 6(Pdia6)
PDIA6	ENSMUST00000159434	Mus musculus	protein disulfide isomerase associated 6(Pdia6)
PDIA6	ENSMUST00000163000	Mus musculus	protein disulfide isomerase associated 6(Pdia6)
PDIA6	ENSMUST00000057288	Mus musculus	protein disulfide isomerase associated 6(Pdia6)
PDIA6	ENSMUST00000162936	Mus musculus	protein disulfide isomerase associated 6(Pdia6)
MPEG1	ENSMUST00000081035	Mus musculus	macrophage expressed gene 1(Mpeg1)
KCTD7	ENSMUST00000144467	Mus musculus	potassium channel tetramerisation domain containing 7(Kctd7)
KCTD7	ENSMUST00000040616	Mus musculus	potassium channel tetramerisation domain containing 7(Kctd7)
