From	To	Species	Gene Name
TMEM109	ENSMUST00000129052	Mus musculus	transmembrane protein 109(Tmem109)
TMEM109	ENSMUST00000128835	Mus musculus	transmembrane protein 109(Tmem109)
POLE	ENSMUST00000112482	Mus musculus	polymerase (DNA directed), epsilon(Pole)
POLE	ENSMUST00000112481	Mus musculus	polymerase (DNA directed), epsilon(Pole)
POLE	ENSMUST00000007296	Mus musculus	polymerase (DNA directed), epsilon(Pole)
POLE	ENSMUST00000152495	Mus musculus	polymerase (DNA directed), epsilon(Pole)
POLE	ENSMUST00000182442	Mus musculus	polymerase (DNA directed), epsilon(Pole)
POLE	ENSMUST00000131887	Mus musculus	polymerase (DNA directed), epsilon(Pole)
POLE	ENSMUST00000141506	Mus musculus	polymerase (DNA directed), epsilon(Pole)
POLH	ENSMUST00000024749	Mus musculus	polymerase (DNA directed), eta (RAD 30 related)(Polh)
LMNTD2	ENSMUST00000026573	Mus musculus	lamin tail domain containing 2(Lmntd2)
LMNTD2	ENSMUST00000170841	Mus musculus	lamin tail domain containing 2(Lmntd2)
URB2	ENSMUST00000173168	Mus musculus	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)(Urb2)
URB2	ENSMUST00000034457	Mus musculus	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)(Urb2)
CKAP4	ENSMUST00000053871	Mus musculus	cytoskeleton-associated protein 4(Ckap4)
CKAP4	ENSMUST00000167671	Mus musculus	cytoskeleton-associated protein 4(Ckap4)
SENP1	ENSMUST00000180657	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000181349	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000181855	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000183105	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000180531	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000182611	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000044189	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000180461	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
SENP1	ENSMUST00000180716	Mus musculus	SUMO1/sentrin specific peptidase 1(Senp1)
FGR	ENSMUST00000030693	Mus musculus	FGR proto-oncogene, Src family tyrosine kinase(Fgr)
